Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-25 04:00:00,214.6199951171875,216.02999877929688,211.11000061035156,211.99000549316406,31755700,0.0,0.0
2025-06-26 04:00:00,213.1199951171875,218.0399932861328,212.00999450683594,217.1199951171875,50480800,0.0,0.0
2025-06-27 04:00:00,219.9199981689453,223.3000030517578,216.74000549316406,223.3000030517578,119217100,0.0,0.0
2025-06-30 04:00:00,223.52000427246094,223.82000732421875,219.1199951171875,219.38999938964844,58887800,0.0,0.0
2025-07-01 04:00:00,219.5,221.8800048828125,217.92999267578125,220.4600067138672,39256800,0.0,0.0
2025-07-02 04:00:00,219.72999572753906,221.60000610351562,219.05999755859375,219.9199981689453,30894200,0.0,0.0
2025-07-03 04:00:00,221.82000732421875,224.00999450683594,221.36000061035156,223.41000366210938,29632400,0.0,0.0
2025-07-07 04:00:00,223.0,224.2899932861328,222.3699951171875,223.47000122070312,36604100,0.0,0.0
2025-07-08 04:00:00,223.9199981689453,224.0,218.42999267578125,219.36000061035156,45692000,0.0,0.0
2025-07-09 04:00:00,221.07000732421875,224.2899932861328,220.47000122070312,222.5399932861328,38155100,0.0,0.0
2025-07-10 04:00:00,221.5500030517578,222.7899932861328,219.6999969482422,222.25999450683594,30370600,0.0,0.0
2025-07-11 04:00:00,223.5800018310547,226.67999267578125,222.3699951171875,225.02000427246094,50518300,0.0,0.0
2025-07-14 04:00:00,225.07000732421875,226.66000366210938,224.24000549316406,225.69000244140625,35702600,0.0,0.0
2025-07-15 04:00:00,226.1999969482422,227.27000427246094,225.4600067138672,226.35000610351562,34907300,0.0,0.0
2025-07-16 04:00:00,225.8800048828125,226.10000610351562,222.17999267578125,223.19000244140625,39535900,0.0,0.0
2025-07-17 04:00:00,223.32000732421875,224.5,222.50999450683594,223.8800048828125,31855800,0.0,0.0
2025-07-18 04:00:00,225.13999938964844,226.39999389648438,222.97999572753906,226.1300048828125,37833800,0.0,0.0
2025-07-21 04:00:00,225.83999633789062,229.69000244140625,225.64999389648438,229.3000030517578,40297600,0.0,0.0
2025-07-22 04:00:00,229.67999267578125,230.0,226.35000610351562,227.47000122070312,37483700,0.0,0.0
2025-07-23 04:00:00,228.47000122070312,228.7899932861328,227.08999633789062,228.2899932861328,28294900,0.0,0.0
2025-07-24 04:00:00,229.1699981689453,236.0,228.63999938964844,232.22999572753906,42856900,0.0,0.0
